2020-01-09T17:55:36.584-0500 I NETWORK  [js] Starting new replica set monitor for prod-cluster-shard-0/prod-cluster-shard-00-00-v4dbc.mongodb.net:27017,prod-cluster-shard-00-01-v4dbc.mongodb.net:27017,prod-cluster-shard-00-02-v4dbc.mongodb.net:27017
2020-01-09T17:55:36.964-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-01-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:36.967-0500 I NETWORK  [js] Successfully connected to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-00-v4dbc.mongodb.net:27017 with a 5 second timeout)
2020-01-09T17:55:37.241-0500 I NETWORK  [ReplicaSetMonitor-TaskExecutor] Successfully connected to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 (1 connections now open to prod-cluster-shard-00-02-v4dbc.mongodb.net:27017 with a 5 second timeout)
deleted-2019-11-27-dbalser, U02580294 > deleted-2020-01-09-U02580294
deleted-2019-11-27-fidler, U02601254 > deleted-2020-01-09-U02601254
deleted-2019-11-27-khorshid, U02604819 > deleted-2020-01-09-U02604819
deleted-2019-11-27-spaco213, U02638605 > deleted-2020-01-09-U02638605
deleted-2019-11-27-dlukacs, U02650278 > deleted-2020-01-09-U02650278
deleted-2019-11-27-cwhit, U02663184 > deleted-2020-01-09-U02663184
deleted-2019-11-27-joneshj, U02669449 > deleted-2020-01-09-U02669449
deleted-2019-11-27-sshong, U02670104 > deleted-2020-01-09-U02670104
deleted-2019-11-27-gdip, U02682534 > deleted-2020-01-09-U02682534
deleted-2019-11-27-rhope, U02684884 > deleted-2020-01-09-U02684884
deleted-2019-11-27-mjwz, U02702838 > deleted-2020-01-09-U02702838
deleted-2019-11-27-zkhobbs, U02734527 > deleted-2020-01-09-U02734527
deleted-2019-11-27-jodurfee, U02736390 > deleted-2020-01-09-U02736390
deleted-2019-11-27-amerisd, U02747749 > deleted-2020-01-09-U02747749
deleted-2019-11-27-leblancl, U02751645 > deleted-2020-01-09-U02751645
deleted-2019-11-27-klthayer, U02756064 > deleted-2020-01-09-U02756064
deleted-2019-11-27-kscherb, U02773821 > deleted-2020-01-09-U02773821
deleted-2019-11-27-nike5324, U02776297 > deleted-2020-01-09-U02776297
deleted-2019-11-27-nikoy, U02779456 > deleted-2020-01-09-U02779456
deleted-2019-11-27-durryyah, U02784045 > deleted-2020-01-09-U02784045
deleted-2019-11-27-vlado, U02828037 > deleted-2020-01-09-U02828037
deleted-2019-11-27-longzhu, U02829207 > deleted-2020-01-09-U02829207
deleted-2019-11-27-sjfarron, U02900423 > deleted-2020-01-09-U02900423
deleted-2019-11-27-ttraylor, U02924409 > deleted-2020-01-09-U02924409
deleted-2019-11-27-jylee19, U02949213 > deleted-2020-01-09-U02949213
deleted-2019-11-27-temurh, U02966304 > deleted-2020-01-09-U02966304
deleted-2019-11-27-priyalv, U02989156 > deleted-2020-01-09-U02989156
deleted-2019-11-27-sravanti, U03004751 > deleted-2020-01-09-U03004751
deleted-2019-11-27-leylat, U03005499 > deleted-2020-01-09-U03005499
deleted-2019-11-27-cjyoon, U03022986 > deleted-2020-01-09-U03022986
deleted-2019-11-27-maggfinn, U03024957 > deleted-2020-01-09-U03024957
deleted-2019-11-27-chayac, U03047475 > deleted-2020-01-09-U03047475
deleted-2019-11-27-bolashak, U03061505 > deleted-2020-01-09-U03061505
deleted-2019-11-27-afidalgo, U03063774 > deleted-2020-01-09-U03063774
deleted-2019-11-27-gracemcc, U03068184 > deleted-2020-01-09-U03068184
deleted-2019-11-27-amc19, U03080171 > deleted-2020-01-09-U03080171
deleted-2019-11-27-milopez, U03095517 > deleted-2020-01-09-U03095517
deleted-2019-11-27-ciaghij, U03123777 > deleted-2020-01-09-U03123777
deleted-2019-11-27-mmulholl, U03126864 > deleted-2020-01-09-U03126864
deleted-2019-11-27-vdiaz, U03133965 > deleted-2020-01-09-U03133965
deleted-2019-11-27-wcp, U03144332 > deleted-2020-01-09-U03144332
deleted-2019-11-27-grsmnsue, U03155051 > deleted-2020-01-09-U03155051
deleted-2019-11-27-vw1029, U03157356 > deleted-2020-01-09-U03157356
deleted-2019-11-27-mbrenn, U03171431 > deleted-2020-01-09-U03171431
deleted-2019-11-27-staiged, U03223587 > deleted-2020-01-09-U03223587
